,Number of Beds,FTE - Employees on Payroll,Inpatient Revenue,Outpatient Revenue
1977,208.0,417.11,165228406.0,24886854.0
1978,40.0,283.0,67132679.0,138860916.0
1979,119.0,444.24,48276931.0,107103737.0
1980,57.0,256.2,38263940.0,87179870.0
1981,25.0,95.54,1925699.0,38047002.0
1982,30.0,103.9,55821798.0,124064020.0
1983,15.0,55.48,1869569.0,30098593.0
1984,12.0,248.6,2641092.0,238111385.0
1985,36.0,111.64,5377550.0,22989040.0
1986,47.0,282.27,126005242.0,72090116.0
1987,49.0,718.0,146755703.0,241932531.0
1988,150.0,1016.18,968134834.0,636965488.0
1989,21.0,97.02,11859874.0,37429602.0
1990,210.0,1106.71,651357936.0,520234336.0
1991,348.0,1871.0,997416142.0,649726639.0
1993,118.0,882.48,317788678.0,289670685.0
1995,310.0,1787.06,1132871082.0,788140374.0
1996,47.0,190.49,23561072.0,121810509.0
1997,182.0,1196.3,231118358.0,436416275.0
1998,189.0,1836.34,548916594.0,877920275.0
1999,26.0,390.41,53190313.0,167445258.0
2000,12.0,68.32,32093524.0,67981900.0
2001,140.0,477.0,176684436.0,164286559.0
